Rk,Player,Tm,Salary 2022-23
1,Stephen Curry,GSW,"$48,070,014"
2,Russell Westbrook,UTA,"$47,559,433"
3,LeBron James,LAL,"$44,474,988"
4,Kevin Durant,PHO,"$44,119,845"
5,Bradley Beal,WAS,"$43,279,250"
6,Damian Lillard,POR,"$42,492,492"
7,Giannis Antetokounmpo,MIL,"$42,492,492"
8,Paul George,LAC,"$42,492,492"
9,Kawhi Leonard,LAC,"$42,492,492"
10,John Wall,HOU,"$47,345,760"
11,Klay Thompson,GSW,"$40,600,080"
12,Kyrie Irving,DAL,"$38,917,057"
13,Rudy Gobert,MIN,"$38,172,414"
14,Anthony Davis,LAL,"$37,980,720"
15,Khris Middleton,MIL,"$37,948,276"
16,Jimmy Butler,MIA,"$37,653,300"
17,Tobias Harris,PHI,"$37,633,050"
18,Trae Young,ATL,"$37,096,500"
19,Luka Dončić,DAL,"$37,096,500"
20,Zach LaVine,CHI,"$37,096,500"
21,Ben Simmons,BRK,"$35,448,672"
22,Pascal Siakam,TOR,"$35,448,672"
23,Myles Turner,IND,"$35,069,500"
24,Devin Booker,PHO,"$33,833,400"
25,Karl-Anthony Towns,MIN,"$33,833,400"
26,Kristaps Porziņģis,WAS,"$33,833,400"
27,Jrue Holiday,MIL,"$33,665,040"
28,Joel Embiid,PHI,"$33,616,770"
29,Andrew Wiggins,GSW,"$33,616,770"
30,CJ McCollum,NOP,"$33,333,333"
31,Nikola Jokić,DEN,"$33,047,803"
32,James Harden,PHI,"$33,000,000"
33,Brandon Ingram,NOP,"$31,650,600"
34,Jamal Murray,DEN,"$31,650,600"
35,D'Angelo Russell,LAL,"$31,377,750"
36,Shai Gilgeous-Alexander,OKC,"$30,913,750"
37,Michael Porter Jr.,DEN,"$30,913,750"
38,Deandre Ayton,PHO,"$30,913,750"
39,Donovan Mitchell,CLE,"$30,913,750"
40,De'Aaron Fox,SAC,"$30,351,780"
41,Bam Adebayo,MIA,"$30,351,780"
42,Jayson Tatum,BOS,"$30,351,780"
43,Gordon Hayward,CHO,"$30,075,000"
44,Jaren Jackson Jr.,MEM,"$28,946,605"
45,Kevin Love,CLE,"$32,056,968"
46,Jaylen Brown,BOS,"$28,741,071"
47,Chris Paul,PHO,"$28,400,000"
48,Kyle Lowry,MIA,"$28,333,334"
49,Jalen Brunson,NYK,"$27,733,332"
50,Kemba Walker,OKC,"$37,281,261"
51,DeMar DeRozan,CHI,"$27,300,000"
52,Al Horford,BOS,"$26,500,000"
53,Draymond Green,GSW,"$25,806,468"
54,Julius Randle,NYK,"$23,760,000"
55,John Collins,ATL,"$23,500,000"
56,Mike Conley,MIN,"$22,680,000"
57,Malcolm Brogdon,BOS,"$22,600,000"
58,Anfernee Simons,POR,"$22,321,429"
59,Nikola Vučević,CHI,"$22,000,000"
60,Terry Rozier,CHO,"$21,486,316"
61,Fred VanVleet,TOR,"$21,250,000"
62,Buddy Hield,IND,"$21,177,750"
63,Jerami Grant,POR,"$20,955,000"
64,Mikal Bridges,BRK,"$20,100,000"
65,Jarrett Allen,CLE,"$20,000,000"
66,Aaron Gordon,DEN,"$19,690,909"
67,Tim Hardaway Jr.,DAL,"$19,602,273"
68,Eric Gordon,LAC,"$19,568,360"
69,Bojan Bogdanović,DET,"$19,550,000"
70,Lonzo Ball,CHI,"$19,534,884"
71,Spencer Dinwiddie,BRK,"$19,500,000"
72,Caris LeVert,CLE,"$18,796,296"
73,Clint Capela,ATL,"$18,706,896"
74,Joe Harris,BRK,"$18,642,857"
75,Domantas Sabonis,SAC,"$18,500,000"
76,Harrison Barnes,SAC,"$18,352,273"
77,Evan Fournier,NYK,"$18,000,000"
78,Bogdan Bogdanović,ATL,"$18,000,000"
79,Steven Adams,MEM,"$17,926,829"
80,Gary Trent Jr.,TOR,"$17,505,000"
81,Jonathan Isaac,ORL,"$17,400,000"
82,OG Anunoby,TOR,"$17,357,143"
83,Marcus Smart,BOS,"$17,207,142"
84,Mitchell Robinson,NYK,"$17,045,454"
85,Duncan Robinson,MIA,"$16,902,000"
86,Derrick White,BOS,"$16,892,857"
87,Norman Powell,LAC,"$16,758,621"
88,Dejounte Murray,ATL,"$16,571,120"
89,Collin Sexton,UTA,"$16,500,000"
90,Markelle Fultz,ORL,"$16,500,000"
91,Lauri Markkanen,UTA,"$16,475,454"
92,Marcus Morris,LAC,"$16,372,093"
93,Dāvis Bertāns,DAL,"$16,000,000"
94,Jusuf Nurkić,POR,"$15,625,000"
95,Malik Beasley,LAL,"$15,558,035"
96,Luguentz Dort,OKC,"$15,277,778"
97,Tyus Jones,MEM,"$15,000,000"
98,Jonas Valančiūnas,NOP,"$14,700,000"
99,Derrick Rose,NYK,"$14,520,730"
100,Kevin Huerter,SAC,"$14,508,929"
101,Luke Kennard,MEM,"$14,415,545"
102,Will Barton,WAS,"$14,807,642"
103,Christian Wood,DAL,"$14,317,459"
104,Wendell Carter Jr.,ORL,"$14,150,000"
105,Kentavious Caldwell-Pope,DEN,"$14,004,703"
106,Brook Lopez,MIL,"$13,906,976"
107,Doug McDermott,SAS,"$13,750,000"
108,Zion Williamson,NOP,"$13,534,817"
109,Jordan Clarkson,UTA,"$13,340,000"
110,Kyle Kuzma,WAS,"$13,000,000"
111,Danilo Gallinari,SAS,"$19,479,000"
112,Patrick Beverley,ORL,"$13,506,508"
113,Gary Harris,ORL,"$13,000,000"
114,Josh Hart,NYK,"$12,960,000"
115,Dorian Finney-Smith,BRK,"$12,939,848"
116,Kelly Olynyk,UTA,"$12,804,878"
117,Chris Boucher,TOR,"$12,690,000"
118,Kelly Oubre Jr.,CHO,"$12,600,000"
119,Marvin Bagley III,DET,"$12,500,000"
120,Robert Covington,LAC,"$12,307,692"
121,Josh Richardson,NOP,"$12,196,094"
122,Ja Morant,MEM,"$12,119,440"
123,Devonte' Graham,SAS,"$11,550,000"
124,Terrence Ross,ORL,"$12,080,373"
125,Dillon Brooks,MEM,"$11,400,000"
126,Richaun Holmes,SAC,"$11,215,260"
127,Reggie Jackson,CHO,"$11,795,633"
128,Dwight Powell,DAL,"$11,080,125"
129,Paolo Banchero,ORL,"$11,055,120"
130,Robert Williams,BOS,"$10,937,502"
131,RJ Barrett,NYK,"$10,900,635"
132,Bobby Portis,MIL,"$10,843,350"
133,Nicolas Batum,LAC,"$19,700,319"
134,Anthony Edwards,MIN,"$10,733,400"
135,Cade Cunningham,DET,"$10,552,800"
136,P.J. Tucker,PHI,"$10,490,000"
137,Mo Bamba,LAL,"$10,300,000"
138,Talen Horton-Tucker,UTA,"$10,260,000"
139,Jae Crowder,MIL,"$10,183,800"
140,Derrick Favors,HOU,"$10,183,800"
141,Ivica Zubac,LAC,"$10,123,457"
142,Reggie Bullock,DAL,"$10,012,800"
143,Alec Burks,DET,"$10,012,800"
144,Chet Holmgren,OKC,"$9,891,240"
145,De'Andre Hunter,ATL,"$9,835,881"
146,Danny Green,HOU,"$11,710,528"
147,Larry Nance Jr.,NOP,"$9,672,727"
148,James Wiseman,DET,"$9,603,360"
149,Landry Shamet,PHO,"$9,500,000"
150,Malik Monk,SAC,"$9,472,219"
151,Jalen Green,HOU,"$9,441,840"
152,Jakob Poeltl,TOR,"$9,398,148"
153,Dario Šarić,OKC,"$9,240,000"
154,Nerlens Noel,DET,"$9,240,000"
155,Royce O'Neale,BRK,"$9,200,000"
156,Kemba Walker,DET,"$37,281,261"
157,Monte Morris,WAS,"$9,125,000"
158,Mason Plumlee,LAC,"$9,080,417"
159,Alex Caruso,CHI,"$9,030,000"
