Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,WS_per_G,OWS_per_G,DWS_per_G,AST_TOV,OWS_div_USG,TS_times_USG,bigmanD,foul_rate,three_rate,PTs_per_36,PF_per_dplay,FG_TOV,two_way
Precious Achiuwa,C,23,TOR,55,12,20.7,3.6,7.3,0.485,0.5,2.0,0.269,3.0,5.4,0.564,0.521,1.6,2.3,0.702,1.8,4.1,6.0,0.9,0.6,0.5,1.1,1.9,9.2,15.2,0.554,0.267,0.307,9.3,24.4,16.3,6.3,1.3,2.6,11.4,19.4,0.8,1.4,2.2,0.093,-1.4,-0.8,-2.3,-0.1,2.84016,4.0,1.4545454545454546,2.545454545454545,0.8181818181818181,0.04123711340206186,10.7476,0.251207729468599,0.09178743961352658,21.50537634408602,16.0,1.727272727272727,3.7272727272727266,38.69090909090908
Steven Adams,C,29,MEM,42,42,27.0,3.7,6.3,0.597,0.0,0.0,0.0,3.7,6.2,0.599,0.597,1.1,3.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,17.5,0.564,0.004,0.49,20.1,25.3,22.7,11.2,1.5,3.7,19.8,14.6,1.3,2.1,3.4,0.144,-0.3,0.9,0.6,0.7,17.926829,8.095238095238095,3.0952380952380953,5.0,1.2105263157894737,0.08904109589041097,8.234399999999999,0.3148148148148148,0.08518518518518518,0.0,11.466666666666665,1.15,1.9473684210526319,87.5
Bam Adebayo,C,25,MIA,75,75,34.6,8.0,14.9,0.54,0.0,0.2,0.083,8.0,14.7,0.545,0.541,4.3,5.4,0.806,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4,20.1,0.592,0.011,0.361,8.0,23.6,15.5,15.9,1.7,2.4,12.7,25.2,3.6,3.8,7.4,0.137,0.8,0.8,1.5,2.3,30.35178,9.866666666666667,4.8,5.066666666666666,1.28,0.14285714285714288,14.918399999999998,0.25144508670520227,0.08092485549132947,1.3245033112582782,21.225433526011557,1.4,3.2,101.84
Ochai Agbaji,SG,22,UTA,59,22,20.5,2.8,6.5,0.427,1.4,3.9,0.355,1.4,2.7,0.532,0.532,0.9,1.2,0.812,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,7.9,9.5,0.561,0.591,0.179,3.9,6.9,5.4,7.5,0.6,1.0,9.0,15.8,0.9,0.4,1.3,0.053,-1.7,-1.4,-3.0,-0.3,3.91836,2.2033898305084745,1.5254237288135595,0.6779661016949153,1.5714285714285716,0.056962025316455694,8.863800000000001,0.09268292682926829,0.08292682926829269,37.5,13.873170731707317,2.8333333333333335,5.999999999999999,6.4406779661016955
Santi Aldama,PF,22,MEM,77,20,21.8,3.2,6.8,0.47,1.2,3.5,0.353,2.0,3.4,0.591,0.56,1.4,1.9,0.75,1.1,3.7,4.8,1.3,0.6,0.6,0.8,1.9,9.0,13.9,0.591,0.507,0.274,5.4,18.0,11.7,7.6,1.3,2.6,9.3,16.0,2.1,2.4,4.6,0.13,-0.3,0.8,0.5,1.1,2.09412,5.974025974025973,2.7272727272727275,3.116883116883117,1.625,0.13125,9.456,0.22477064220183487,0.08715596330275228,33.98058252427184,14.862385321100916,1.5833333333333333,5.5,43.324675324675326
Nickeil Alexander-Walker,SG,24,TOT,59,3,15.0,2.2,5.0,0.444,1.0,2.7,0.384,1.2,2.3,0.515,0.547,0.7,1.0,0.667,0.3,1.5,1.7,1.8,0.5,0.4,0.9,1.5,6.2,11.6,0.565,0.539,0.203,1.9,10.5,6.3,16.7,1.7,2.0,14.6,17.9,0.3,0.8,1.1,0.062,-1.4,0.4,-0.9,0.2,5.009633,1.864406779661017,0.5084745762711864,1.3559322033898307,2.0,0.01675977653631285,10.113499999999998,0.16,0.1,35.064935064935064,14.879999999999999,1.6666666666666665,3.555555555555556,15.728813559322035
Grayson Allen,SG,27,MIL,72,70,27.4,3.4,7.7,0.44,2.0,5.1,0.399,1.4,2.7,0.518,0.571,1.6,1.8,0.905,0.8,2.4,3.3,2.3,0.9,0.2,1.0,1.6,10.4,12.3,0.612,0.657,0.226,3.4,9.0,6.3,10.9,1.5,0.6,10.5,14.6,2.8,2.2,5.1,0.123,-0.6,0.7,0.1,1.0,8.5,7.083333333333333,3.888888888888889,3.055555555555556,2.3,0.1917808219178082,8.9352,0.12773722627737227,0.05839416058394161,39.84374999999999,13.664233576642337,1.4545454545454546,5.4,37.583333333333336
Jarrett Allen,C,24,CLE,68,68,32.6,5.9,9.2,0.644,0.0,0.1,0.1,5.9,9.1,0.653,0.645,2.4,3.3,0.733,3.3,6.5,9.8,1.7,0.8,1.2,1.4,2.3,14.3,19.9,0.67,0.016,0.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.4,5.5,4.0,9.5,0.205,1.3,1.0,2.4,2.4,20.0,13.970588235294118,8.088235294117647,5.88235294117647,1.2142857142857144,0.3353658536585366,10.988,0.2607361963190184,0.0705521472392638,1.0752688172043012,15.791411042944786,1.15,4.214285714285714,117.05882352941175
Jose Alvarado,PG,24,NOP,61,10,21.5,3.3,8.0,0.411,1.4,4.0,0.336,1.9,4.0,0.488,0.496,1.1,1.3,0.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0,11.8,0.525,0.505,0.164,2.4,9.8,6.1,19.9,2.5,0.7,13.4,19.8,0.1,1.7,1.8,0.066,-2.0,0.7,-1.2,0.3,1.563518,2.9508196721311477,0.16393442622950818,2.7868852459016393,2.3076923076923075,0.005050505050505051,10.395000000000001,0.14883720930232558,0.09302325581395349,33.33333333333333,15.069767441860465,1.5384615384615383,3.6153846153846145,32.885245901639344
Kyle Anderson,PF,29,MIN,69,46,28.4,3.7,7.2,0.509,0.6,1.5,0.41,3.0,5.7,0.536,0.553,1.4,2.0,0.735,1.0,4.4,5.3,4.9,1.1,0.9,1.5,2.1,9.4,14.8,0.583,0.212,0.275,3.8,16.9,10.5,22.6,1.9,2.8,15.7,14.4,2.5,2.6,5.1,0.125,0.2,2.3,2.5,2.2,8.780488,7.391304347826086,3.6231884057971016,3.768115942028986,3.266666666666667,0.1736111111111111,8.395199999999999,0.22535211267605637,0.073943661971831,17.24137931034483,11.91549295774648,1.05,2.8666666666666667,55.76811594202899
Giannis Antetokounmpo,PF,28,MIL,63,63,32.1,11.2,20.3,0.553,0.7,2.7,0.275,10.5,17.6,0.596,0.572,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,29.0,0.605,0.134,0.604,7.3,30.0,19.1,33.2,1.2,2.1,13.2,38.8,4.9,3.7,8.6,0.204,5.8,2.7,8.5,5.4,42.492492,13.65079365079365,7.777777777777778,5.873015873015873,1.4615384615384617,0.12628865979381446,23.473999999999997,0.34890965732087226,0.09657320872274143,11.73913043478261,34.87850467289719,1.9375,3.051282051282051,170.3174603174603
Thanasis Antetokounmpo,SF,30,MIL,37,0,5.6,0.5,1.2,0.435,0.0,0.2,0.0,0.5,1.0,0.526,0.435,0.3,0.6,0.5,0.4,0.8,1.2,0.4,0.1,0.1,0.3,0.6,1.4,6.7,0.458,0.174,0.478,7.9,14.1,11.1,9.3,0.7,1.2,17.7,13.8,-0.1,0.2,0.1,0.022,-6.5,-1.1,-7.6,-0.3,1.87872,0.2702702702702703,-0.2702702702702703,0.5405405405405406,1.3333333333333335,-0.007246376811594203,6.3204,0.17857142857142858,0.10714285714285715,14.285714285714288,9.0,2.9999999999999996,1.6666666666666667,3.621621621621622
Cole Anthony,PG,22,ORL,60,4,25.9,4.6,10.2,0.454,1.3,3.4,0.364,3.4,6.7,0.5,0.516,2.5,2.8,0.894,0.8,4.0,4.8,3.9,0.6,0.5,1.5,2.6,13.0,16.0,0.57,0.338,0.279,3.4,17.6,10.5,22.9,1.2,1.9,11.7,21.5,2.1,1.7,3.7,0.116,0.8,0.5,1.3,1.3,3.61368,6.166666666666667,3.5000000000000004,2.833333333333333,2.6,0.09767441860465116,12.254999999999999,0.1969111969111969,0.1003861003861004,25.0,18.06949806949807,2.3636363636363633,3.933333333333333,45.33333333333333
OG Anunoby,SF,25,TOR,67,67,35.6,6.3,13.2,0.476,2.1,5.5,0.387,4.2,7.7,0.539,0.556,2.1,2.5,0.838,1.4,3.5,5.0,2.0,1.9,0.7,2.0,3.0,16.8,14.6,0.586,0.415,0.189,4.2,12.1,7.9,8.0,2.7,2.0,12.1,19.5,1.8,2.9,4.7,0.094,-0.3,0.7,0.4,1.5,17.357143,7.014925373134329,2.6865671641791042,4.3283582089552235,1.0,0.09230769230769231,11.427,0.17134831460674155,0.08426966292134831,29.411764705882355,16.98876404494382,1.153846153846154,4.2,63.19402985074626
