,,22/23,23/24,24/25,25/26,26/27,27/28
1,Stephen Curry,48070014,51915615,55761217,59606817,0,0
2,John Wall,47345760,6802950,0,0,0,0
3,Russell Westbrook,47063478,0,0,0,0,0
4,LeBron James,44474988,0,0,0,0,0
5,Kevin Durant,44119845,47649433,51179020,54708608,0,0
6,Bradley Beal,43279250,46741590,50203930,53666270,57128610,0
7,Paul George,42492568,45640165,48787763,0,0,0
8,Kawhi Leonard,42492492,45640084,48787676,0,0,0
8,Giannis Antetokounmpo,42492492,45640084,48787676,51935268,0,0
8,Damian Lillard,42492492,45640084,48787676,58545211,63228828,0
11,Klay Thompson,40600080,43219440,0,0,0,0
12,Rudy Gobert,38172414,41000000,43827586,46655173,0,0
13,Khris Middleton,37984276,40396552,0,0,0,0
14,Anthony Davis,37980720,40600080,43219440,0,0,0
15,Jimmy Butler,37653300,45183960,48798677,52413394,0,0
16,Tobias Harris,37633050,39270150,0,0,0,0
17,Trae Young,37096500,40064220,43031940,45999660,48967380,0
17,Zach LaVine,37096500,40064220,43031940,45999660,48967380,0
17,Luka Doncic,37096500,40064220,43031940,45999660,48967380,0
20,Kyrie Irving,36934550,0,0,0,0,0
21,Kemba Walker,36596549,0,0,0,0,0
22,Ben Simmons,35448672,37893408,40338144,0,0,0
22,Pascal Siakam,35448672,37893408,0,0,0,0
24,Karl-Anthony Towns,33833400,36016200,50050000,54054000,58058000,62062000
24,Devin Booker,33833400,36016200,50050000,54054000,58058000,62062000
24,Kristaps Porzingis,33833400,36016200,0,0,0,0
27,Jrue Holiday,33665040,36158747,38652454,0,0,0
28,Joel Embiid,33616770,46550000,50274000,53998000,57722000,0
28,Andrew Wiggins,33616770,0,0,0,0,0
30,CJ McCollum,33333333,35802469,0,0,0,0
31,Nikola Jokic,33047803,46550000,50274000,53998000,57722000,61446000
32,James Harden,33000000,35640000,0,0,0,0
33,Jamal Murray,31650600,33833400,36016200,0,0,0
33,Brandon Ingram,31650600,33833400,36016200,0,0,0
35,D'Angelo Russell,31377750,0,0,0,0,0
36,Michael Porter,30913750,33386850,35859950,38333050,40806150,0
36,Shai Gilgeous-Alexander,30913750,33386850,35859950,38333050,40806150,0
36,Deandre Ayton,30913750,32459438,34005126,35550814,0,0
39,Jayson Tatum,30351780,32600060,34848340,37096620,0,0
39,Bam Adebayo,30351780,32600060,34848340,37096620,0,0
39,De'Aaron Fox,30351780,32600060,34848340,37096620,0,0
39,Donovan Mitchell,30351780,32600060,34848340,37096620,0,0
43,Gordon Hayward,30075000,31500000,0,0,0,0
44,Jaren Jackson Jr,28946605,27102202,25257798,23413395,0,0
45,Kevin Love,28942830,0,0,0,0,0
46,Jaylen Brown,28741071,30723214,0,0,0,0
47,Chris Paul,28400000,30800000,30800000,0,0,0
48,Kyle Lowry,28333334,29682540,0,0,0,0
49,Jalen Brunson,27733332,26346666,24960001,24960001,0,0
50,DeMar DeRozan,27300000,28600000,0,0,0,0
51,Al Horford,26500000,0,0,0,0,0
52,Draymond Green,25806468,27586224,0,0,0,0
53,Julius Randle,23760000,25660800,27561600,29462400,0,0
54,John Collins,23500000,25340000,26580000,26580000,0,0
55,Mike Conley,22680000,24360000,0,0,0,0
56,Malcolm Brogdon,22600000,22500000,22500000,0,0,0
57,Anfernee Simons,22321429,24107143,25892857,27678571,0,0
58,Nikola Vucevic,22000000,0,0,0,0,0
59,Terry Rozier,21486316,23205221,24924126,26643031,0,0
60,Fred VanVleet,21250000,22824074,0,0,0,0
61,Buddy Hield,21177750,19279841,0,0,0,0
62,Jerami Grant,20955000,0,0,0,0,0
63,Spencer Dinwiddie,20171427,21028570,0,0,0,0
64,Mikal Bridges,20100000,21700000,23300000,24900000,0,0
65,Jarrett Allen,20000000,20000000,20000000,20000000,0,0
66,Nicolas Batum,19700319,11710818,0,0,0,0
67,Aaron Gordon,19690909,21266182,22841455,22841455,0,0
68,Tim Hardaway Jr,19602273,17897728,16193183,0,0,0
69,Eric Gordon,19568360,20917902,0,0,0,0
70,Bojan Bogdanovic,19550000,0,0,0,0,0
71,Lonzo Ball,19534884,20465117,21395348,0,0,0
72,Danilo Gallinari,19479000,6802950,0,0,0,0
73,Caris LeVert,18796296,0,0,0,0,0
74,Clint Capela,18706896,21116000,22765280,0,0,0
75,Joe Harris,18642857,19928571,0,0,0,0
76,Domantas Sabonis,18500000,19400000,0,0,0,0
77,Harrison Barnes,18352273,0,0,0,0,0
78,Evan Fournier,18000000,18857143,19000000,0,0,0
78,Bogdan Bogdanovic,18000000,18000000,0,0,0,0
78,Myles Turner,18000000,0,0,0,0,0
81,Steven Adams,17926829,0,0,0,0,0
82,Gary Trent Jr,17505000,18785000,0,0,0,0
83,Jonathan Isaac,17400000,17400000,17400000,0,0,0
84,OG Anunoby,17357143,18642857,19928571,0,0,0
85,Marcus Smart,17207142,18583713,19960285,21336856,0,0
86,Mitchell Robinson,17045454,15681818,14318182,12954546,0,0
